"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C29","*CAPC1005X55N","87.75mm","81.5mm","87.75mm","81.5mm","87.75mm","81.063mm","T","90.00","CGA2B3X7R1V104K050BB"
"Y1","*OSCSC320X250X100N","96.25mm","84.75mm","96.25mm","84.75mm","95.4mm","85.85mm","T","360.00","ABM8G-25.000MHZ-B4Y-T"
"U6","SOIC8-N_MC_MCH","98.85mm","67.22mm","98.85mm","67.22mm","96.4878mm","69.125mm","T","0.00","93AA66C-I/SN"
"U5","*TI_TPD4E05U06DQAR","115.527mm","77.841mm","115.527mm","77.841mm","115.912mm","76.841mm","T","180.00","TPD4E05U06DQAR"
"U4","SQFN48_7X7_Y9X00","88.5mm","75.75mm","88.5mm","75.75mm","85.0488mm","78.5mm","T","0.00","LAN7800/Y9X"
"U3","TDFN6_1P2X1P2_00","110.85mm","67.25mm","110.85mm","67.25mm","110.2785mm","67.6564mm","T","0.00","MIC5528-3.3YMT-T"
"U2","*TI_TPD4E05U06DQAR","115.3mm","72.9mm","115.3mm","72.9mm","114.915mm","73.9mm","T","360.00","TPD4E05U06DQAR"
"U1","RNH0030A","105.4mm","76.4mm","105.4mm","76.4mm","104.2mm","78.2mm","T","0.00","HD3SS3220IRNHR"
"R16","*RESC1005X37N","103.85mm","65.85mm","103.85mm","65.85mm","103.85mm","65.418mm","T","90.00","Res1"
"R15","*RESC1005X37N","96.5mm","77.75mm","96.5mm","77.75mm","96.932mm","77.75mm","T","180.00","Res1"
"R14","*RESC1005X37N","94mm","80mm","94mm","80mm","94.432mm","80mm","T","180.00","Res1"
"R13","*RESC1005X37N","83.25mm","80.75mm","83.25mm","80.75mm","82.818mm","80.75mm","T","360.00","Res1"
"R12","*RESC1005X37N","96.5mm","78.75mm","96.5mm","78.75mm","96.932mm","78.75mm","T","180.00","Res1"
"R11","*RESC1005X37N","91.5mm","70mm","91.5mm","70mm","91.5mm","69.568mm","T","90.00","DNP"
"R10","*RESC1005X37N","58mm","66.25mm","58mm","66.25mm","58.432mm","66.25mm","T","180.00","Res1"
"R9","*RESC1005X37N","111.35mm","65.25mm","111.35mm","65.25mm","111.782mm","65.25mm","T","180.00","Res1"
"R8","*RESC1005X37N","58.5mm","86.25mm","58.5mm","86.25mm","58.068mm","86.25mm","T","360.00","Res1"
"R7","*RESC1005X37N","94.4mm","69.6mm","94.4mm","69.6mm","94.4mm","70.032mm","T","270.00","Res1"
"R6","*RESC1005X37N","92.5mm","70mm","92.5mm","70mm","92.5mm","69.568mm","T","90.00","Res1"
"R5","*RESC1005X37N","101.15mm","79.4mm","101.15mm","79.4mm","101.15mm","79.832mm","T","270.00","Res1"
"R4","*RESC1005X37N","104.4mm","72.4mm","104.4mm","72.4mm","104.4mm","71.968mm","T","90.00","Res1"
"R3","*RESC1005X37N","102.15mm","79.4mm","102.15mm","79.4mm","102.15mm","79.832mm","T","270.00","Res1"
"R2","*RESC1005X37N","122.131mm","66.538mm","122.131mm","66.538mm","122.563mm","66.538mm","T","180.00","Res1"
"R1","*RESC1005X37N","100.15mm","79.4mm","100.15mm","79.4mm","100.15mm","79.832mm","T","270.00","Res1"
